Customer ID,SCBL ID,Date received,Sample Submitter,PI,Species,Mouse ID,Location,Firing,Nucleus,Customer Project
T245,PS240192,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53128,SUB,Reg,Yes,Simmons Grant 
T243,PS240193,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53124,SUB,Reg,Yes,Simmons Grant 
T246,PS240194,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,53129,SUB,Reg,Yes,Simmons Grant 
T248,PS240195,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57443,SUB,Bur,Yes,Simmons Grant 
T249,PS240197,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57443,CA1,Reg,Yes,Simmons Grant 
T250,PS240198,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57445,SUB,Reg,Yes,Simmons Grant 
T251,PS240199,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57944,SUB,Reg,Yes,Simmons Grant 
T252,PS240200,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57445,CA1,Reg,Yes,Simmons Grant 
T254,PS240201,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57445,SUB,Reg,Yes,Simmons Grant 
T257,PS240202,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57446,SUB,Bur,Yes,Simmons Grant 
T259,PS240203,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57950,CA1,Reg,Yes,Simmons Grant 
T262,PS240204,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57451,SUB,Reg,Yes,Simmons Grant 
T264,PS240206,2024-08-13,Tengteng Zhao,Kristen O'Connell,M musculus,57451,SUB,Reg,Yes,Simmons Grant 
