Customer ID,SCBL ID,Date received,Sample Submitter,PI,Species,Mouse ID,Location,Firing,Nucleus,Customer Project
T15,T15 High,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53138,CA1,Reg,Yes,Pilot Sample Batch 1
T17,PS240001,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53138,CA1,Reg,No,Batch 1
T18,PS240002,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53139,CA1,Reg,Yes,Batch 1
T21,PS240003,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53142,CA1,Reg,Yes,Batch 1
T22,PS240004,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53142,SUB,Reg,Yes,Batch 1
T23,PS240005,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53143,CA1,Reg,Yes,Batch 1
T24,PS240006,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53144,CA1,Reg,Yes,Batch 1
T25,PS240007,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53145,SUB,Reg,Yes,Batch 1
T26,PS240008,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53146,CA1,Reg,Yes,Batch 1
T28,PS240009,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53147,CA1,Reg,No,Batch 1
T29,PS240010,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53147,SUB,Bur,Yes,Batch 1
T30,PS240011,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53147,CA1,Reg,Yes,Batch 1
T31,PS240012,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53147,SUB,Reg,Yes,Batch 1
T32,PS240013,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53148,CA1,Reg,No,Batch 1
T33,PS240014,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53148,SUB,Bur,No,Batch 1
T35,PS240015,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53148,SUB,Bur,Yes,Batch 1
T36,PS240016,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53149,CA1,Reg,Yes,Batch 1
T37,PS240017,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53149,SUB,Reg,Yes,Batch 1
T41,PS240018,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53150,CA1,Reg,Yes,Batch 1
T42,PS240019,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53150,CA1,Reg,No,Batch 1
T43,PS240020,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53151,CA1,Reg,No,Batch 1
T44,PS240021,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53151,CA1,Reg,Yes,Batch 1
T45,PS240022,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53151,SUB,Bur,Yes,Batch 1
T46,PS240023,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53151,CA1,Reg,Yes,Batch 1
T47,PS240024,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53152,CA1,Reg,No,Batch 1
T48,PS240025,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53152,SUB,Bur,Yes,Batch 1
T49,PS240026,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53154,SUB,Reg,Yes,Batch 1
T50,PS240027,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53155,CA1,Reg,Yes,Batch 1
T51,PS240028,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53155,SUB,Reg,Yes,Batch 1
T53,PS240029,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53157,CA1,Reg,Yes,Batch 1
T55,PS240030,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53157,SUB,Reg,Yes,Batch 1
T56,PS240031,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53158,CA1,Reg,Yes,Batch 1
T57,PS240032,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53163,CA1,Reg,Yes,Batch 1
T58,PS240033,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53163,SUB,Bur,Yes,Batch 1
T59,PS240034,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53165,SUB,Bur,Yes,Batch 1
T60,PS240035,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53167,CA1,Reg,Yes,Batch 1
T61,PS240036,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53167,SUB,Reg,Yes,Batch 1
T62,PS240037,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53167,SUB,Bur,Yes,Batch 1
T63,PS240038,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53169,CA1,Reg,Yes,Batch 1
T65,PS240039,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53171,CA1,Reg,Yes,Batch 1
T66,PS240040,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53113,CA1,Reg,Yes,Batch 1
T67,PS240041,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53113,SUB,Reg,Yes,Batch 1
T68,PS240042,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53113,CA1,Reg,Yes,Batch 1
T70,PS240043,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53114,CA1,Reg,No,Batch 1
T71,PS240044,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53114,SUB,Reg,No,Batch 1
T72,PS240045,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53114,CA1,Reg,Yes,Batch 1
T73,PS240046,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53114,SUB,Bur,Yes,Batch 1
T74,PS240047,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53111,CA1,Reg,No,Batch 1
T75,PS240048,2023-11-03,Tengteng Zhao,Kristen O'Connell,M musculus,53111,CA1,Reg,No,Batch 1
