Cell ID,,,R1S1 mean
53612-T141-CA1-0003.abf,,,-37.65968323
53612-T142-SUB-0015.abf,,,-57.41547775
53612-T143-SUB-0026.abf,,,-48.88539505
53614-T144-Sub-0001.abf,,,-37.35477829
53616-T154-Sub-0011.abf,,,-29.22098732
54229-T122-Sub-0005.abf,,,-35.78177261
54229-T124-Sub-0015.abf,,,-51.03343964
54229-T128-CA1-0027.abf,,,-40.78324127
54232-T130-CA1-0010.abf,,,-54.37634659
54232-T131-SUB-0020.abf,,,-54.93370438
54233-T132-CA1-0001.abf,,,-59.30917358
54233-T134-SUB-0011.abf,,,-42.23001099
54234-T133-Sub-0001.abf,,,-23.23709488
54235-T136-CA1-0025.abf,,,-44.97780609
54235-T137-SUB-0035.abf,,,-47.92213821
54235-T138-CA1-0046.abf,,,-62.35610199
54235-T139-SUB-0056.abf,,,-52.47002792
54237-T149-CA1-0001.abf,,,-39.90676117
54237-T150-SUB-0012.abf,,,-53.62643051
54237-T151-SUB-0023.abf,,,-64.17293549
54237-T152-CA1-0037.abf,,,-58.06394196
54238-T135-Sub-0001.abf,,,-51.59905624
54240-T140-CA1-0007.abf,,,-36.51176071
54241-T76-CA1-0001.abf,,,-40.9551506
54241-T77-SUB-0011.abf,,,-35.71448517
54242-T78-CA1-0021.abf,,,-46.89891434
54244-T79-SUB-0002.abf,,,-30.4649868
54249-T80-CA1-0001.abf,,,-47.0241394
54249-T80-CA1-0002.abf,,,-43.34622574
54252-T81-SUB-0002.abf,,,-50.43582153
54253-T82-CA1-0014.abf,,,-37.37509918
54255-T83-SUB-0002.abf,,,-39.28672028
54255-T84-CA1-0020.abf,,,-39.33845139
54258-T85-CA1-0002.abf,,,-46.30225372
54259-T86-SUB-0002.abf,,,-41.07971573
54262-T87-CA1-0001.abf,,,-45.41281128
54264-T88-SUB-0001.abf,,,-53.24458313
54265-T89-CA1-0003.abf,,,-56.77626038
54265-T90-SUB-0014.abf,,,-48.87399292
54265-T91-SUB-0025.abf,,,-38.90592957
57443-T247-SUB-0029.abf,,,-68.16123199
57443-T248-SUB-0039.abf,,,-49.15675354
57443-T249-CA1-0049.abf,,,-38.14764023
57445-T250-SUB-0003.abf,,,-55.75497055
57445-T252-CA1-0013.abf,,,-56.45927811
57445-T254-SUB-0026.abf,,,-38.18044281
57446-T256-Sub-0001.abf,,,-33.91218185
57446-T257-Sub-0011.abf,,,-16.58514404
57449-T258-Sub-0006.abf,,,-23.30049133
