1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Peak (T0S1R1) (mV),Time of Peak (Trace) (T0S1R1) (ms),Baseline (T0S1R1) (mV)
63972-T456-SUB-0023.abf,4,34.8211,-1.21677,2189.1,-60.9984
63972-T457-CA1-0039.abf,4,34.8211,0.106482,2011.7,-60.6025
63973-T458-SUB-0012.abf,4,34.8211,-0.653165,2095.7,-61.0432
63973-T459-SUB-0029.abf,4,34.8211,-6.33569,1459.9,-59.745
63973-T460-CA1-0039.abf,4,34.8211,-0.133981,2255.7,-60.4739
63973-T461-SUB-0049.abf,4,34.8211,-7.52852,1436.3,-60.0679
63974-T462-SUB-0007.abf,4,34.8211,0.434582,2237.7,-60.4932
63974-T463-CA1-0016.abf,4,34.8211,0.516807,2013.3,-60.8704
63974-T464-SUB-0026.abf,4,34.8211,0.369857,1613.6,-60.1436
63974-T465-CA1-0037.abf,4,34.8211,0.108928,2131.6,-60.6355
63974-T466-SUB-0048.abf,4,34.8211,-0.971805,2249.5,-59.6158
63975-T467-SUB-0011.abf,4,34.8211,0.527374,2333,-60.0773
63975-T468-SUB-0021.abf,4,34.8211,0.400058,2183.2,-61.008
63975-T469-CA1-0032.abf,4,34.8211,0.338582,2217.5,-60.326
63975-T470-CA1-0047.abf,4,34.8211,-0.979515,2118.9,-61.022
63976-T471-CA1-0016.abf,4,34.8211,1.04379,2342.6,-60.0851
63976-T472-SUB-0038.abf,4,34.8211,-2.61981,1459.2,-60.3685
63976-T473-CA1-0048.abf,4,34.8211,-0.353915,2352.6,-60.2947
63976-T474-SUB-0063.abf,4,34.8211,0.156809,2228.7,-60.1442
