1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Peak (T0S1R1) (mV),Time of Peak (Trace) (T0S1R1) (ms),Baseline (T0S1R1) (mV)
57459-T279-Sub-0007.abf,4,34.8211,-0.799549,2143.9,-59.727
57459-T280-Sub-0016.abf,4,34.8211,-5.956,1452.3,-57.9885
57459-T281-Sub-0025.abf,4,34.8211,-4.56828,1451.3,-59.834
57460-T306-Sub-0010.abf,4,34.8211,-0.286122,2120.3,-61.1152
57461-T282-Sub-0006.abf,4,34.8211,-0.439954,1978.5,-60.3409
57461-T283-Sub-0015.abf,4,34.8211,-0.504372,2017.3,-60.5104
57461-T284-Sub-0024.abf,4,34.8211,-2.66455,1435.1,-59.1946
57461-T285-Sub-0033.abf,4,34.8211,0.267489,2307.2,-60.5194
57464-T201-Sub-0026.abf,4,34.8211,-0.913758,2207,-59.6331
57464-T286-Sub-0006.abf,4,34.8211,0.365419,2340.2,-60.2918
57464-T294-Sub-0035.abf,4,34.8211,-2.06078,1455.8,-60.5613
57465-T297-Sub-0009.abf,4,34.8211,0.595549,2163.7,-60.3083
57465-T298-CA1-0019.abf,4,34.8211,-0.969645,1411.4,-60.5029
57465-T299-Sub-0030.abf,4,34.8211,-2.27625,1410.2,-60
57465-T300-CA1-0040.abf,4,34.8211,-0.543421,1424.1,-60.4409
58513-T317-Sub-0008.abf,4,34.8211,-0.0862008,2124,-60.1962
58513-T318-CA1-0017.abf,4,34.8211,-2.16099,1412.6,-60.6645
58514-T320-CA1-0007.abf,4,34.8211,-0.512649,1435.5,-60.1665
58514-T322-Sub-0016.abf,4,34.8211,-0.662592,2347.8,-61.0134
58515-T323-CA1-0006.abf,4,34.8211,-0.369743,2207.7,-59.8007
58515-T324-Sub-0016.abf,4,34.8211,-0.198033,2194.6,-60.6642
58517-T325-Sub-0006.abf,4,34.8211,-0.645509,1944.4,-60.349
58517-T326-Sub-0015.abf,4,34.8211,-3.31753,1401.3,-58.3076
58518-T327-CA1-0007.abf,4,34.8211,-0.152313,2263.9,-59.6621
58518-T331-Sub-0015.abf,4,34.8211,-1.42928,1978.9,-60.0331
58518-T331-Sub-0016.abf,4,34.8211,-1.43164,1520.9,-59.7866
58518-T333-CA1-0025.abf,4,34.8211,-1.15007,1473.4,-60.5056
58518-T335-Sub-0034.abf,4,34.8211,-0.500431,1443.9,-59.9854
58520-T336-Sub-0007.abf,4,34.8211,-1.33531,1746.4,-60.8595
58525-T338-CA1-0006.abf,4,34.8211,-1.25748,1447.3,-60.1032
58525-T339-Sub-0026.abf,4,34.8211,-1.49424,1416.1,-60.9447
58525-T340-CA1-0035.abf,4,34.8211,-0.217033,2325.9,-59.9535
58525-T341-Sub-0043.abf,4,34.8211,-3.51026,1423.7,-59.9358
58526-T342-Sub-0008.abf,4,34.8211,0.384882,2300.8,-61.4302
58526-T343-Sub-0020.abf,4,34.8211,0.727904,2325.3,-60.6543
58526-T344-Sub-0029.abf,4,34.8211,-0.386592,1436.2,-60.5265
61064-T350-CA1-0006.abf,4,34.8211,-1.30626,1440.3,-60.6343
61603-T368-Sub-0006.abf,4,34.8211,-1.30897,2102.5,-60.8553
61603-T369-CA1-0006.abf,4,34.8211,-0.032809,2209,-60.4429
61606-T352-Sub-0006.abf,4,34.8211,-2.60645,1537.2,-60.8599
61606-T354-CA1-0006.abf,4,34.8211,-0.806856,1488.6,-60.8285
61608-T370-Sub-0008.abf,4,34.8211,-6.56839,1451.1,-60.4584
61608-T371-Sub-0006.abf,4,34.8211,-4.87027,1459.6,-60.5798
61611-T364-Sub-0007.abf,4,34.8211,-0.979923,1523.7,-60.0858
61611-T365-Sub-0007.abf,4,34.8211,-0.14909,2325.1,-60.4588
61611-T367-CA1-0006.abf,4,34.8211,-1.30791,1434.4,-60.4291
62127-T349-Sub-0006.abf,4,34.8211,-2.17238,2323.9,-60.0428
53455-T92-CA1-0007.abf,4,34.8211,-0.924159,1465.8,-60.4772
53455-T93-SUB-0017.abf,4,34.8211,-0.492643,1454.2,-61.0613
53459-T100-SUB-0037.abf,4,34.8211,-1.65948,1466.8,-60.6879
53459-T97-CA1-0006.abf,4,34.8211,0.0612271,2230.4,-60.6183
53459-T98-SUB-0017.abf,4,34.8211,-2.45068,1446.4,-60.5681
53459-T99-CA1-0027.abf,4,34.8211,-2.77355,1456.6,-60.9777
53460-T101-CA1-0008.abf,4,34.8211,-1.88503,1459.4,-60.9201
53460-T102-SUB-0027.abf,4,34.8211,-2.44102,1450.5,-61.1169
53460-T103-SUB-0039.abf,4,34.8211,-1.59872,2021.3,-61.1759
53460-T104-CA1-0051.abf,4,34.8211,-5.85365,1469.9,-61.4783
53466-T108-CA1-0006.abf,4,34.8211,-0.68494,1465.6,-61.0521
53466-T109-CA1-0021.abf,4,34.8211,0.334876,2295.4,-59.9255
54241-T76-CA1-0006.abf,4,34.8211,-1.33764,1568.2,-61.7219
54241-T77-SUB-0016.abf,4,34.8211,-2.19056,1483.9,-60.0755
54242-T78-CA1-0026.abf,4,34.8211,-3.24974,1449.2,-60.8982
54244-T79-SUB-0008.abf,4,34.8211,0.410008,2362.1,-61.1603
54249-T80-CA1-0007.abf,4,34.8211,0.748466,2240.2,-60.9902
54252-T81-SUB-0007.abf,4,34.8211,-5.43467,1426.6,-60.6766
54253-T82-CA1-0019.abf,4,34.8211,-2.09789,1437.1,-61.0735
54255-T83-SUB-0008.abf,4,34.8211,-2.51781,1424,-60.8977
54255-T84-CA1-0025.abf,4,34.8211,-3.62808,1440,-61.6795
54258-T85-CA1-0008.abf,4,34.8211,-1.10157,1414.3,-60.5948
54259-T86-SUB-0008.abf,4,34.8211,-0.94353,1466.2,-60.5596
54262-T87-CA1-0006.abf,4,34.8211,-4.55566,1446,-59.9992
