1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
57459-T280-Sub-0015.abf,4,21.0211,-59.4327,-4.25752,519.7
57459-T281-Sub-0024.abf,4,21.0211,-60.3726,-3.91773,471.4
57460-T306-Sub-0009.abf,4,21.0211,-59.5359,-2.50629,1209
57461-T282-Sub-0005.abf,4,21.0211,-59.7739,-0.406789,1350.3
57461-T283-Sub-0014.abf,4,21.0211,-59.7683,-0.615831,1366.1
57461-T284-Sub-0023.abf,4,21.0211,-59.181,-2.17972,474.7
57461-T285-Sub-0032.abf,4,21.0211,-59.4727,-0.00606489,1300.5
57464-T201-Sub-0025.abf,4,21.0211,-59.5884,-0.500665,1177.4
57464-T286-Sub-0005.abf,4,21.0211,-59.6628,0.234872,1346.3
57464-T294-Sub-0034.abf,4,21.0211,-60.4635,-1.14132,514
57465-T297-Sub-0008.abf,4,21.0211,-61.323,0.979581,1382.8
57465-T298-CA1-0018.abf,4,21.0211,-60.9182,-0.371271,436.5
57465-T299-Sub-0029.abf,4,21.0211,-59.6631,-2.10446,434.5
57465-T300-CA1-0039.abf,4,21.0211,-60.622,-0.230008,455.8
58513-T317-Sub-0007.abf,4,21.0211,-59.8883,-0.149915,1226.4
58513-T318-CA1-0016.abf,4,21.0211,-60.2292,-1.96563,435.5
58514-T320-CA1-0006.abf,4,21.0211,-60.03,-0.445699,1309.7
58514-T322-Sub-0015.abf,4,21.0211,-59.1911,-0.541951,1226.7
58515-T323-CA1-0005.abf,4,21.0211,-59.9815,-0.189001,1229.2
58515-T324-Sub-0015.abf,4,21.0211,-60.3867,-0.160158,1278.9
58517-T325-Sub-0005.abf,4,21.0211,-59.685,-1.08565,1111.3
58517-T326-Sub-0014.abf,4,21.0211,-59.7161,-2.37697,434.6
58518-T327-CA1-0006.abf,4,21.0211,-59.0325,-0.629329,1329.2
58518-T333-CA1-0024.abf,4,21.0211,-59.8617,-1.38705,494.7
58518-T335-Sub-0033.abf,4,21.0211,-59.1954,-0.873405,461.3
