1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
63970-T449-SUB-0049.abf,,,,-0.994903,
63970-T450-SUB-0059.abf,4,21.0211,-60.8343,-0.831518,499.7
63971-T451-SUB-0017.abf,4,21.0211,-60.162,-3.24337,483.4
63971-T452-CA1-0027.abf,4,21.0211,-60.2167,0.229353,1150.2
63971-T453-SUB-0041.abf,4,21.0211,-60.6665,-2.84063,504.3
63971-T454-CA1-0051.abf,4,21.0211,-60.788,0.220767,1278.3
63972-T455-SUB-0008.abf,4,21.0211,-60.6744,-0.289542,1371.8
63972-T456-SUB-0022.abf,4,21.0211,-60.8704,-1.08025,1270.5
63972-T457-CA1-0038.abf,4,21.0211,-60.2093,0.140492,1285.2
63973-T458-SUB-0011.abf,4,21.0211,-60.0662,-0.826508,1141.4
63973-T459-SUB-0028.abf,4,21.0211,-60.3949,-5.06528,503.6
63973-T460-CA1-0038.abf,4,21.0211,-60.8884,-0.584207,1387.4
63973-T461-SUB-0048.abf,4,21.0211,-59.1933,-6.92817,498.6
63974-T462-SUB-0006.abf,4,21.0211,-60.6039,0.107916,1240.2
63974-T463-CA1-0015.abf,4,21.0211,-60.8644,0.032743,1138.9
63974-T464-SUB-0025.abf,4,21.0211,-60.1939,0.145497,637.7
63974-T465-CA1-0036.abf,4,21.0211,-60.4792,-0.372881,1384.8
63974-T466-SUB-0047.abf,4,21.0211,-59.3733,-0.3801,1024.3
63975-T467-SUB-0010.abf,4,21.0211,-59.8737,0.0999269,1328.1
63975-T468-SUB-0020.abf,4,21.0211,-61.3138,0.766945,535.8
63975-T469-CA1-0031.abf,4,21.0211,-60.9817,0.404324,1159.9
63975-T470-CA1-0046.abf,4,21.0211,-58.7848,-1.90445,455.9
63976-T471-CA1-0015.abf,4,21.0211,-60.2778,0.605755,1146.9
63976-T472-SUB-0037.abf,4,21.0211,-59.9079,-2.20551,499
63976-T473-CA1-0047.abf,4,21.0211,-59.8664,-0.324449,1276.7
63976-T474-SUB-0062.abf,4,21.0211,-59.4105,-0.0377466,896.9
