"Animal_ID","AM_PM","Sex","Line","Birth_Date","Animal_Info","CFC.baseline","CFC.PS1","CFC.PS2","CFC.PS3","CFC.PS4","CFA.Total","Train_threshold","Train_bout","Train_assay","Train_date","Age_at_Test","Age_Months","CFM.Bin1","CFM.Bin2","CFM.Bin3","CFM.Bin4","CFM.Bin5","CFM.Total","Test_threshold","Test_bout","Test_assay","Test_date"
53134,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53134_Pen15374_Ear2R",2,22.5,58.39,53.12,36.25,34.04,10.4,1,"CFC_Train","2023-06-08",5.12483574244415,5,36.59,52.92,70.89,53.12,28.75,48.42,10.2,1,"CFC_Test","2023-06-09"
53135,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53135_Pen15375_Ear2L",4.33,6.83,11.25,21.12,28.57,20.93,19.4,1,"CFC_Train","2023-06-12",5.25624178712221,5,68.19,48.33,64.79,7.5,28.96,43.58,13.8,1,"CFC_Test","2023-06-13"
53136,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53136_Pen15375_Ear2R1L",0,11.25,6.88,78.12,88.12,36.54,15,1,"CFC_Train","2023-06-12",5.25624178712221,5,35.55,67.15,69.02,26.67,44.89,48.71,15.7,1,"CFC_Test","2023-06-13"
53137,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53137_Pen15375_Ear1R2L",2.5,37.27,17.5,50.93,18.75,32.55,15.4,1,"CFC_Train","2023-06-13",5.28909329829172,5,33.68,43.04,64.37,50.31,37.37,45.81,16.9,1,"CFC_Test","2023-06-14"
53138,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53138_Pen15375_Ear2B",0,0,9.32,60.25,72.5,43.04,12.3,1,"CFC_Train","2023-06-14",5.32194480946124,5,75.26,97.08,92.5,94.37,83.3,88.5,6.7,1,"CFC_Test","2023-06-15"
53139,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53139_Pen15375_Ear3R",0.67,2.48,2.48,18.01,39.13,21.61,22.7,1,"CFC_Train","2023-06-15",5.35479632063075,5,15.8,25.83,34.58,51.04,33.4,32.12,8.4,1,"CFC_Test","2023-06-16"
53140,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53140_Pen15376_EarN",0,0,4.37,3.11,26.09,9.25,13.4,1,"CFC_Train","2023-06-19",5.4862023653088,5,28.54,55.51,29.31,36.8,19.79,34.04,10.7,1,"CFC_Test","2023-06-20"
53141,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53141_Pen15376_EarR",3.33,9.94,47.2,61.25,68.75,42,5.8,1,"CFC_Train","2023-06-19",5.4862023653088,5,37.63,32.02,32.22,23.49,27.71,30.63,6.8,1,"CFC_Test","2023-06-20"
53143,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53143_Pen15376_EarB",1.5,0,7.45,24.37,59.37,25.18,11.3,1,"CFC_Train","2023-06-21",5.55190538764783,6,37.42,50.42,46.25,45.42,43.01,44.5,9.6,1,"CFC_Test","2023-06-22"
53144,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53144_Pen15376_Ear2R",0.67,14.91,43.48,49.69,73.91,31.39,6.5,1,"CFC_Train","2023-06-22",5.58475689881735,6,48.44,58.84,19.96,12.27,10.42,29.96,7.7,1,"CFC_Test","2023-06-23"
53145,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53145_Pen15377_Ear2L",0.67,0,28.57,45.34,39.13,32.25,16.6,1,"CFC_Train","2023-06-26",5.7161629434954,6,42,56.96,45,75.88,74.53,58.9,10.9,1,"CFC_Test","2023-06-27"
53146,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53146_Pen15377_Ear2R1L",1,6.25,6.83,56.52,45.96,40.82,11.8,1,"CFC_Train","2023-06-26",5.7161629434954,6,55.21,60.91,44.7,32.22,40.83,46.75,10.5,1,"CFC_Test","2023-06-27"
53147,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53147_Pen15377_Ear1R2L",5.99,0,5.59,0,5.62,6.57,16.3,1,"CFC_Train","2023-06-27",5.74901445466491,6,17.26,11.87,11.85,13.1,10,12.79,12.1,1,"CFC_Test","2023-06-28"
53148,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53148_Pen15377_Ear2B",7.32,22.36,22.36,46.58,39.75,33.96,16,1,"CFC_Train","2023-06-28",5.78186596583443,6,55.93,70,77.13,84.17,75.62,72.58,8.4,1,"CFC_Test","2023-06-29"
53149,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53149_Pen15377_Ear2R",0,0,0,34.16,75.16,30.25,16.7,1,"CFC_Train","2023-06-28",5.78186596583443,6,35.76,48.33,44.79,28.96,58.46,43.25,15.1,1,"CFC_Test","2023-06-29"
53150,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53150_Pen15378_EarN",1.5,0,16.87,30.63,55.9,29.25,7.3,1,"CFC_Train","2023-07-10",6.17608409986859,6,62.99,68.19,68.75,62.99,55.21,63.67,4.7,1,"CFC_Test","2023-07-10"
53151,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53151_Pen15378_EarR",0,0,15.62,5.62,0.62,4.61,22.8,1,"CFC_Train","2023-07-10",6.17608409986859,6,14.14,11.25,14.35,8.12,0.83,9.75,17.7,1,"CFC_Test","2023-07-11"
53152,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53152_Pen15378EarL",0,0,0,17.39,41.87,24.19,14.1,1,"CFC_Train","2023-07-11",6.20893561103811,6,52.81,67.08,43.12,39.17,44.05,49.25,8.1,1,"CFC_Test","2023-07-12"
53153,"AM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53153_Pen15378_EarB",0,0,16.87,34.16,30.43,26.29,12.7,1,"CFC_Train","2023-07-12",6.24178712220762,6,12.5,31.04,55.3,70.83,63.96,46.71,8.7,1,"CFC_Test","2023-07-13"
53154,"PM","Female","(CByB6F1/J x C3D2F1/J)/J","2023-01-03","53154_Pen15378_Ear2R",0.67,0,3.11,17.39,18.63,14.89,12.9,1,"CFC_Train","2023-07-13",6.27463863337714,6,35.97,48.12,65.07,58.54,34.24,48.42,9.8,1,"CFC_Test","2023-07-14"
