1.4: Copy to Dataset Results,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Mean (T0S1R1) (mV)
53115-T199-CA1-0006.abf,4,34.8211,0.395868
53115-T208-Sub-0018.abf,4,34.8211,0.045119
53117-T218-CA1-0007.abf,4,34.8211,0.505041
53117-T220-Sub-0016.abf,4,34.8211,0.102064
53117-T223-CA1-0025.abf,4,34.8211,-0.408557
53119-T209-CA1-0006.abf,4,34.8211,0.22657
53119-T211-Sub-0015.abf,4,34.8211,-0.736391
53119-T212-Sub-0006.abf,4,34.8211,-0.252829
53119-T214-Sub-0017.abf,4,34.8211,-1.66629
53123-T225-Sub-0006.abf,4,34.8211,-0.648595
53123-T226-CA1-0015.abf,4,34.8211,0.524038
53123-T227-Sub-0028.abf,4,34.8211,-0.463401
53126-T230-Sub-0009.abf,4,34.8211,1.87889
53126-T232-Sub-0025.abf,4,34.8211,0.599627
53126-T234-Sub-0038.abf,4,34.8211,-1.10296
53127-T237-CA1-0006.abf,4,34.8211,0.668659
53127-T240-Sub-0015.abf,4,34.8211,0.114079
53127-T243-Sub-0026.abf,4,34.8211,-0.0492873
53129-T246-Sub-0018.abf,4,34.8211,-1.12973
53173-T182-CA1-0005.abf,4,34.8211,-0.558014
53173-T184-Sub-0020.abf,4,34.8211,-0.34743
53174-T157-CA1-0012.abf,4,34.8211,-1.02884
53174-T158-Sub-0021.abf,4,34.8211,0.361874
53174-T160-Sub-0029.abf,4,34.8211,0.288473
53178-T161-CA1-0006.abf,4,34.8211,0.377193
53178-T162-Sub-0021.abf,4,34.8211,0.00806032
53186-T168-CA1-0010.abf,4,34.8211,-0.132196
53186-T170-Sub-0024.abf,4,34.8211,0.217917
53186-T172-CA1-0033.abf,4,34.8211,0.850498
53195-T173-Sub-0005.abf,4,34.8211,-0.377366
53195-T174-CA1-0013.abf,4,34.8211,-0.0626078
53196-T175-CA1-0006.abf,4,34.8211,0.65646
53203-T176-Sub-0008.abf,4,34.8211,-0.223358
53469-T110-CA1-0006.abf,4,34.8211,0.640044
53470-T111-Sub-0006.abf,4,34.8211,0.499575
53470-T112-CA1-0016.abf,4,34.8211,-0.529969
53474-T116-Sub-0006.abf,4,34.8211,0.450634
53475-T120-CA1-0006.abf,4,34.8211,-0.543081
53475-T121-Sub-0017.abf,4,34.8211,-0.445686
53479-T129-Sub-0006.abf,4,34.8211,0.647326
53614-T144-Sub-0007.abf,4,34.8211,0.0194593
53616-T154-Sub-0016.abf,4,34.8211,-0.178214
54229-T122-Sub-0010.abf,4,34.8211,0.570908
54229-T124-Sub-0023.abf,4,34.8211,0.606881
54229-T128-CA1-0031.abf,4,34.8211,0.258669
54234-T133-Sub-0011.abf,4,34.8211,-0.393017
54238-T135-Sub-0006.abf,4,34.8211,-1.24191
54240-T140-CA1-0012.abf,4,34.8211,-0.65995
57446-T256-Sub-0006.abf,4,34.8211,0.742692
57446-T257-Sub-0017.abf,4,34.8211,-0.281995
57449-T258-Sub-0011.abf,4,34.8211,0.543817
57452-T265-Sub-0027.abf,4,34.8211,0.0647221
57454-T267-Sub-0018.abf,4,34.8211,1.49116
57455-T270-Sub-0009.abf,4,34.8211,0.221187
57932-T191-CA1-0008.abf,4,34.8211,0.265569
57933-T195-Sub-0018.abf,4,34.8211,-0.0473307
