Customer ID,SCBL ID,Date received,Sample Submitter,PI,Species,Mouse ID,Location,Firing,Nucleus,Customer Project
T76,PS240049,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54241,CA1,Reg,Yes,Batch 2
T77,PS240050,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54241,SUB,Bur,Yes,Batch 2
T78,PS240051,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54242,CA1,Reg,Yes,Batch 2
T79,PS240052,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54244,SUB,Reg,Yes,Batch 2
T80,PS240053,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54249,CA1,Reg,Yes,Batch 2
T81,PS240054,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54252,SUB,Bur,Yes,Batch 2
T82,PS240055,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54253,CA1,Reg,Yes,Batch 2
T83,PS240056,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54255,SUB,Reg,Yes,Batch 2
T84,PS240057,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54255,CA1,Reg,Yes,Batch 2
T85,PS240058,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54258,CA1,Reg,Yes,Batch 2
T86,PS240059,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54259,SUB,Reg,Yes,Batch 2
T89,PS240060,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54265,CA1,Reg,Yes,Batch 2
T92,PS240061,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53455,CA1,Reg,Yes,Batch 2
T93,PS240062,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53455,SUB,Reg,Yes,Batch 2
T97,PS240063,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53459,CA1,Reg,Yes,Batch 2
T98,PS240064,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53459,SUB,Bur,Yes,Batch 2
T99,PS240065,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53459,CA1,Reg,Yes,Batch 2
T100,PS240066,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53459,SUB,Reg,Yes,Batch 2
T102,PS240067,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53460,SUB,Reg,Yes,Batch 2
T103,PS240068,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53460,SUB,Reg,Yes,Batch 2
T104,PS240069,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53460,CA1,Reg,Yes,Batch 2
T105,PS240070,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53463,CA1,Reg,Yes,Batch 2
T106,PS240071,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53463,SUB,Bur,Yes,Batch 2
T108,PS240072,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53466,CA1,Reg,Yes,Batch 2
T109,PS240073,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53466,CA1,Reg,Yes,Batch 2
T110,PS240074,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53469,CA1,Bur,Yes,Batch 2
T113,PS240075,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53471,CA1,Reg,Yes,Batch 2
T114,PS240076,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53472,SUB,Reg,Yes,Batch 2
T115,PS240077,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53472,CA1,Reg,Yes,Batch 2
T116,PS240078,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53474,SUB,Reg,Yes,Batch 2
T117,PS240079,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53472,SUB,Bur,Yes,Batch 2
T118,PS240080,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53472,CA1,Reg,Yes,Batch 2
T119,PS240081,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53473,CA1,Reg,Yes,Batch 2
T127,PS240082,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53478,SUB,Bur,Yes,Batch 2
T126,PS240083,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53478,CA1,Reg,Yes,Batch 2
T124,PS240084,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,54229,SUB,Bur,Yes,Batch 2
T125,PS240085,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53477,SUB,Reg,Yes,Batch 2
T123,PS240086,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53477,SUB,Bur,Yes,Batch 2
T121,PS240087,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53475,SUB,Reg,Yes,Batch 2
T101,PS240088,2024-05-14,Tengteng Zhao,Kristen O'Connell,M musculus,53460,CA1,Reg,Yes,Batch 2
